Qty,Part,MANUFACTURER_PART_NUMBER,Device,Package,Description,BUILT_BY
3,"DNP,R7,R32,R33",RMCF0603ZT0R00,0OHM-0603-1/10W,603,RES 0 OHM JUMPER 1/10W 0603,Stackpole Electronics Inc
21,"R12,R13,R14,R15,R16,R17,R18,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R37,R38",CRGCQ0402J22R,CRGCQ 0402 22R 5%,402,CRGCQ 0402 22R 5%,TE Connectivity Passive Product
1,R6,RG1608P-101-B-T5,100OHM-0603-1/4W-5%,603,RES SMD 100 OHM 0.1% 1/10W 0603,Susumu
17,"C2,C3,C5,C7,C9,C10,C11,C12,C13,C14,C16,C18,C20,C22,C23,C26,C28",CL10B104KB8NNNL,0.1UF-0603-25V-5%,603,CAP CER 0.1UF 50V X7R 0603,Samsung Electro-Mechanics
2,"C1,C21",UMK107BJ105KA-T,1.0UF-0603-16V-10%,603,CAP CER 1UF 50V X5R 0603,Taiyo Yuden
1,C17,CL21B105KOFNNNG,1.0UF-0805-25V-(+80/-20%),805,CAP CER 1UF 16V X7R 0805,Samsung Electro-Mechanics
1,R39,ERA-3AEB152V,1.5KOHM-0603-1/10W-1%,603,RES SMD 1.5K OHM 0.1% 1/10W 0603,Panasonic Electronic Components
5,"R1,R2,R3,R8,R34",RNCP0603FTD10K0,10KOHM-0603-1/10W-1%,603,RES 10K OHM 1% 1/8W 0603,Stackpole Electronics Inc
4,"C4,C6,C19,C27",TMK107BBJ106MA-T,10UF-0603-6.3V-20%,603,CAP CER 10UF 25V X5R 0603,Taiyo Yuden
1,C8,TMK212BBJ106KG-T,10UF-0805-10V-10%,805,CAP CER 10UF 25V X5R 0805,Taiyo Yuden
1,J2,1734035-4,1734035-4,USB - mini B,CONN RCPT USB2.0 MINI B SMD R/A,EMA_UL_Team
2,"C24,C25",C0603C270F3HACAUTO,27PF-0603-50V-5%,603,CAP CER 0603 27PF 25V ULTRA STAB,KEMET
2,"R35,R36",RMCF0603FT4K70,4.7KOHM-0603-1/10W-1%,603,RES 4.7K OHM 1% 1/10W 0603,Stackpole Electronics Inc
1,C15,CL10A475MA8NQNC,4.7UF-0603-35V-(20%),603,CAP CER 4.7UF 25V X5R 0603,Samsung Electro-Mechanics
1,CR3,7B-25.000MAAJ-T,7B-25.000MAAJ-T,CRYSTAL_TXC_7B,CRYSTAL 25.0000MHZ 18PF SMD,TXC CORPORATION
1,U3,BD50HC0MEFJ-ME2,BD50HC0MEFJ-ME2,HTSOP-J8_ROM,IC REG LINEAR 5V 1A 8HTSOP,Rohm Semiconductor
1,D1,150060GS75000,LED-BLUE0603,LED-0603,LED GREEN CLEAR 0603 SMD,Würth Elektronik
1,U4,BT121-A-V2-IAP,BT121-A-V2-IAP,SMD41_13P9X11_SIL,RX TXRX MODULE SURFACE MOUNT,Silicon Labs
1,R5,CRCW0603499KFKEA,CRCW0603499KFKEA,RES_CRCW_0603,RES SMD 499K OHM 1% 1/10W 0603,Vishay Dale
1,U6,DMN65D8L-7,DMN65D8L-7SOT-23_2P9X1P3_DIO-M,SOT-23,MOSFET N-CH 60V 310MA SOT23,Diodes Incorporated
1,L1,MMZ1608Y121BTA00,MMZ1608Y121BTA00IND_1608_TDK-L,IND_1608_TDK-L,FERRITE BEAD 120 OHM 0603 1LN,TDK Corporation
1,U1,NUF2221W1T2G,NUF2221W1T2G,SOIC6_SC70_1P35X2P2_ONS,FILTER RC(PI) 22 OHM/42PF SMD,ON Semiconductor
2,"CR1,CR2",RGF1D-E3/67A,RGF1D-E3,DIODE_DO214BA,DIODE GEN PURP 200V 1A DO214BA,Vishay General Semiconductor - Diodes Division
1,U7,STM32F401RET6,STM32F401RET6,LQFP64-10X10MM,IC MCU 32BIT 512KB FLASH 64LQFP,STMicroelectronics
1,SW1,TL9320AF400QG,TL9320AF400QG,SW_TL9320_EWI,SWITCH TACTILE SPST NO 16V IP67,E-Switch
1,U5,TLV76733DGNR,TLV76701DGNR,SOIC_01DGNR_TEX,"LDO Voltage Regulators 1-A, 16-V",Texas Instruments
1,R4,TNPW0603160KBEEA,TNPW0603160KBEEA,603,RES 160K OHM 0.1% 1/8W 0603,Vishay Dale
1,U$2,COM-11821,WS2812B,WS2812B,ADDRESS LED DISCRETE SERIAL RGB,SparkFun Electronics
77,,,,,,
